LANGUAGE,en,hi
TITLE,EdTech,EdTech
HEADER_UP,Repository of free EdTech content,नि: शुल्क EdTech सामग्री का भंडार
HEADER_DOWN,For use by Students and Teachers,छात्रों और शिक्षकों द्वारा उपयोग के लिए
HOME_TEXT,Home,घर
ABOUT_TEXT,About,के बारे में
CONTACT_TEXT,Contact,संपर्क करें
INDEX_CONTENT,This website is an initiative by MHRD and Central Square Foundation to provide access to online resources for students and teachers so that learning can effectively take place at home.,यह वेबसाइट छात्रों और शिक्षकों के लिए ऑनलाइन संसाधनों तक पहुंच प्रदान करने के लिए एमएचआरडी और सेंट्रल स्क्वायर फाउंडेशन द्वारा एक पहल है ताकि सीखने को प्रभावी ढंग से घर पर किया जा सके।
STUDENT_BUTTON,Access resources for Students,छात्रों के लिए संसाधनों का उपयोग
TEACHER_BUTTON,Access resources for Teachers,शिक्षकों के लिए पहुँच संसाधन
FILTER_TEXT,Filter,फ़िल्टर
AUDIENCE_TEXT,I want content for,मुझे इसके लिए सामग्री चाहिए
DROPDOWN_TEXT,Select,चुनते हैं
STUDENT_TEXT,Student,छात्र
TEACHER_TEXT,Teacher,अध्यापक
GRADE_FILTER,Who are currently studying in ,जो वर्तमान में पढ़ाई कर रहे हैं 
SUBJECT_FILTER,For the subjects,विषयों के लिए
USECASE_FILTER,For what use case do you want resources,किस मामले के लिए आप संसाधन चाहते हैं
MEDIUM_FILTER,Required medium of instruction,शिक्षा का आवश्यक माध्यम
MATH_TEXT,Math,गणित
SCIENCE_TEXT,Science,विज्ञान
ENGLISH_TEXT,English,अंग्रेज़ी
HINDI_TEXT,Hindi,हिन्दी
MARATHI_TEXT,Marathi,मराठी
TAMIL_TEXT,Tamil,तामिल
TELUGU_TEXT,Telugu,तेलुगू
BENGALI_TEXT,Bengali,बंगाली
URDU_TEXT,Urdu,उर्दू
TEACHING_TEXT,Tools for Teaching,शिक्षण के लिए उपकरण
DEVELOPMENT_TEXT,Professional Development,व्यावसायिक विकास
ASSESSMENT_TEXT,Tools for Assessment,मूल्यांकन के लिए उपकरण
SEARCH_BUTTON,Search Content,सामग्री खोजें
CONTACT_TOP,Please reach out to on the email provided below for corrections or questions:,कृपया सुधार या प्रश्नों के लिए नीचे दिए गए ईमेल पर पहुंचें:
CONTACT_BOTTOM_ONE,Please use,इस्तेमाल करें
CONTACT_BOTTOM_TWO,this form,यह रूप
CONTACT_BOTTOM_THREE,to suggest products,उत्पादों का सुझाव देने के लिए
ABOUT_ONE,"Due to the national shutdown of schools to combat the COVID pandemic in India, there is immense potential to use technology to ensure students are learning at home.","भारत में COVID महामारी से निपटने के लिए स्कूलों के राष्ट्रीय बंद के कारण, छात्रों को घर पर सीखने के लिए प्रौद्योगिकी का उपयोग करने की अपार संभावना है।"
ABOUT_TWO,"In an effort to classify and make EdTech solutions easily available to parents, teachers, and students to ensure continued teaching and learning at home, this easy-to-use database1 of free EdTech solutions has been created. All solutions listed are free of cost and categorized for use by teachers and students/parents.","माता-पिता, शिक्षकों और छात्रों को आसानी से घर पर निरंतर शिक्षण और सीखने को सुनिश्चित करने के लिए एडटेक समाधानों को वर्गीकृत और आसानी से उपलब्ध कराने के प्रयास में, मुफ्त एडटेक समाधानों का यह आसान उपयोग डेटाबेस 1 बनाया गया है। सूचीबद्ध सभी समाधान शिक्षकों और छात्रों / अभिभावकों द्वारा उपयोग के लिए नि: शुल्क और वर्गीकृत हैं।"
ABOUT_THREE_ONE,"If you have suggestions for free EdTech solutions that can be included in this list, please fill","यदि आपके पास नि: शुल्क EdTech समाधान के लिए सुझाव हैं जो इस सूची में शामिल किए जा सकते हैं, तो कृपया भरें"
ABOUT_THREE_TWO,this form,यह रूप
ABOUT_FOUR,This is a non-exhaustive database of solutions that have not been rigorously evaluated for efficacy,यह समाधानों का एक गैर-संपूर्ण डेटाबेस है जिसका प्रभावकारिता के लिए कड़ाई से मूल्यांकन नहीं किया गया है
DISCLAIMER_HEADER,Disclaimer:,अस्वीकरण:
DISCLAIMER_TEXT,"Please read this disclaimer carefully before using the website. All information presented on the website has been taken from publicly available sources. While the information on this website has been verified to the best of our abilities, we cannot guarantee that there are no mistakes or errors. All information posted is merely for educational and informational purposes. It is not intended as a substitute for professional advice. Should you decide to act upon any information on this website, you do so at your own risk.","वेबसाइट का उपयोग करने से पहले कृपया इस अस्वीकरण को ध्यान से पढ़ें। वेबसाइट पर प्रस्तुत सभी जानकारी सार्वजनिक रूप से उपलब्ध स्रोतों से ली गई है। हालांकि इस वेबसाइट की जानकारी को हमारी सर्वोत्तम क्षमताओं में सत्यापित किया गया है, लेकिन हम इस बात की गारंटी नहीं दे सकते कि कोई गलती या त्रुटि नहीं है। पोस्ट की गई सभी जानकारी केवल शैक्षिक और सूचनात्मक उद्देश्यों के लिए है। यह पेशेवर सलाह के विकल्प के रूप में अभिप्रेत नहीं है। क्या आपको इस वेबसाइट पर किसी भी जानकारी पर कार्रवाई करने का निर्णय लेना चाहिए, आप ऐसा अपने जोखिम पर करते हैं।"
